cpusnort,psize,tcpflows,ratep,tput
2,128,8000,1000,59
2,128,8000,1500,89
2,128,8000,2000,118
2,128,8000,2500,148
2,128,8000,3000,177
2,128,16000,500,30
2,128,16000,1000,59
2,128,16000,1500,89
2,128,16000,2000,118
2,128,16000,2500,148
2,128,16000,3000,177
2,128,32000,500,29
2,128,32000,1000,59
2,128,32000,1500,88
2,128,32000,2000,118
2,128,32000,2500,148
2,128,32000,3000,177
2,256,256,500,59
2,256,256,1000,118
2,256,256,1500,177
2,256,256,2000,236
2,256,256,2500,295
2,256,256,3000,354
2,256,1000,500,59
2,256,1000,1000,118
2,256,1000,1500,177
2,256,1000,2000,236
2,256,1000,2500,295
2,256,1000,3000,354
2,256,4000,500,59
2,256,4000,1000,118
2,256,4000,1500,177
2,256,4000,2000,236
2,256,4000,2500,295
2,256,4000,3000,354
2,256,8000,500,59
2,256,8000,1000,118
2,256,8000,1500,177
2,256,8000,2000,236
2,256,8000,2500,295
2,256,8000,3000,354
2,256,16000,500,59
2,256,16000,1000,118
2,256,16000,1500,177
2,256,16000,2000,236
2,256,16000,2500,295
2,256,16000,3000,354
2,256,32000,500,59
2,256,32000,1000,118
2,256,32000,1500,177
2,256,32000,2000,236
2,256,32000,2500,295
2,256,32000,3000,354
2,512,256,500,118
2,512,256,1000,236
2,512,256,1500,354
2,512,256,2000,472
2,512,256,2500,590
2,512,256,3000,708
2,512,1000,500,118
2,512,1000,1000,236
2,512,1000,1500,354
2,512,1000,2000,472
2,512,1000,2500,590
2,512,1000,3000,708
2,512,4000,500,118
2,512,4000,1000,236
2,512,4000,1500,354
2,512,4000,2000,472
2,512,4000,2500,590
2,512,4000,3000,708
2,512,8000,500,118
2,512,8000,1000,236
2,512,8000,1500,354
2,512,8000,2000,472
2,512,8000,2500,590
2,512,8000,3000,708
2,512,16000,500,118
2,512,16000,1000,236
2,512,16000,1500,354
2,512,16000,2000,472
2,512,16000,2500,590
2,512,16000,3000,708
2,512,32000,500,118
2,512,32000,1000,236
2,512,32000,1500,354
2,512,32000,2000,472
2,512,32000,2500,590
2,512,32000,3000,708
2,1024,256,500,236
2,1024,256,1000,472
2,1024,256,1500,708
2,1024,256,2000,944
2,1024,256,2500,1180
2,1024,256,3000,1416
2,1024,1000,500,236
2,1024,1000,1000,472
2,1024,1000,1500,708
2,1024,1000,2000,944
2,1024,1000,2500,1180
2,1024,1000,3000,1416
2,1024,4000,500,236
2,1024,4000,1000,472
2,1024,4000,1500,709
2,1024,4000,2000,944
2,1024,4000,2500,1181
2,1024,4000,3000,1416
2,1024,8000,500,236
2,1024,8000,1000,472
2,1024,8000,1500,709
2,1024,8000,2000,944
2,1024,8000,2500,1181
2,1024,8000,3000,1416
2,1024,16000,500,236
2,1024,16000,1000,472
2,1024,16000,1500,708
2,1024,16000,2000,944
2,1024,16000,2500,1181
2,1024,16000,3000,1417
2,1024,32000,500,236
2,1024,32000,1000,472
2,1024,32000,1500,708
2,1024,32000,2000,944
2,1024,32000,2500,1181
2,1024,32000,3000,1416
3,64,256,500,22
3,64,256,1000,44
3,64,256,1500,66
3,64,256,2000,89
3,64,256,2500,111
3,64,256,3000,133
3,64,1000,500,22
3,64,1000,1000,44
3,64,1000,1500,66
3,64,1000,2000,89
3,64,1000,2500,111
3,64,1000,3000,133
3,64,4000,500,22
3,64,4000,1000,44
3,64,4000,1500,66
3,64,4000,2000,88
3,64,4000,2500,111
3,64,4000,3000,133
3,64,8000,500,22
3,64,8000,1000,44
3,64,8000,1500,66
3,64,8000,2000,88
3,64,8000,2500,111
3,64,8000,3000,133
3,64,16000,500,22
3,64,16000,1000,44
3,64,16000,1500,66
3,64,16000,2000,88
3,64,16000,2500,111
3,64,16000,3000,133
